,Pr,In,Cp,Cl,Cn
0, pPr30,pIn0.5, pCp12, pClD,pCnSl
1, pPr30,pIn0.5, pCp12, pClD,pCnSp
2, pPr30,pIn0.5, pCp12, pClD,pCnLk
3, pPr30,pIn0.5, pCp12, pClF,pCnSl
4, pPr30,pIn0.5, pCp12, pClF,pCnSp
5, pPr30,pIn0.5, pCp12, pClF,pCnLk
6, pPr30,pIn0.5, pCp12, pClE,pCnSl
7, pPr30,pIn0.5, pCp12, pClE,pCnSp
8, pPr30,pIn0.5, pCp12, pClE,pCnLk
9, pPr30,pIn0.5, pCp20, pClD,pCnSl
10, pPr30,pIn0.5, pCp20, pClD,pCnSp
11, pPr30,pIn0.5, pCp20, pClD,pCnLk
12, pPr30,pIn0.5, pCp20, pClF,pCnSl
13, pPr30,pIn0.5, pCp20, pClF,pCnSp
14, pPr30,pIn0.5, pCp20, pClF,pCnLk
15, pPr30,pIn0.5, pCp20, pClE,pCnSl
16, pPr30,pIn0.5, pCp20, pClE,pCnSp
17, pPr30,pIn0.5, pCp20, pClE,pCnLk
18, pPr30,pIn0.5, pCp32, pClD,pCnSl
19, pPr30,pIn0.5, pCp32, pClD,pCnSp
20, pPr30,pIn0.5, pCp32, pClD,pCnLk
21, pPr30,pIn0.5, pCp32, pClF,pCnSl
22, pPr30,pIn0.5, pCp32, pClF,pCnSp
23, pPr30,pIn0.5, pCp32, pClF,pCnLk
24, pPr30,pIn0.5, pCp32, pClE,pCnSl
25, pPr30,pIn0.5, pCp32, pClE,pCnSp
26, pPr30,pIn0.5, pCp32, pClE,pCnLk
27, pPr30,pIn1, pCp12, pClD,pCnSl
28, pPr30,pIn1, pCp12, pClD,pCnSp
29, pPr30,pIn1, pCp12, pClD,pCnLk
30, pPr30,pIn1, pCp12, pClF,pCnSl
31, pPr30,pIn1, pCp12, pClF,pCnSp
32, pPr30,pIn1, pCp12, pClF,pCnLk
33, pPr30,pIn1, pCp12, pClE,pCnSl
34, pPr30,pIn1, pCp12, pClE,pCnSp
35, pPr30,pIn1, pCp12, pClE,pCnLk
36, pPr30,pIn1, pCp20, pClD,pCnSl
37, pPr30,pIn1, pCp20, pClD,pCnSp
38, pPr30,pIn1, pCp20, pClD,pCnLk
39, pPr30,pIn1, pCp20, pClF,pCnSl
40, pPr30,pIn1, pCp20, pClF,pCnSp
41, pPr30,pIn1, pCp20, pClF,pCnLk
42, pPr30,pIn1, pCp20, pClE,pCnSl
43, pPr30,pIn1, pCp20, pClE,pCnSp
44, pPr30,pIn1, pCp20, pClE,pCnLk
45, pPr30,pIn1, pCp32, pClD,pCnSl
46, pPr30,pIn1, pCp32, pClD,pCnSp
47, pPr30,pIn1, pCp32, pClD,pCnLk
48, pPr30,pIn1, pCp32, pClF,pCnSl
49, pPr30,pIn1, pCp32, pClF,pCnSp
50, pPr30,pIn1, pCp32, pClF,pCnLk
51, pPr30,pIn1, pCp32, pClE,pCnSl
52, pPr30,pIn1, pCp32, pClE,pCnSp
53, pPr30,pIn1, pCp32, pClE,pCnLk
54, pPr30,pIn3, pCp12, pClD,pCnSl
55, pPr30,pIn3, pCp12, pClD,pCnSp
56, pPr30,pIn3, pCp12, pClD,pCnLk
57, pPr30,pIn3, pCp12, pClF,pCnSl
58, pPr30,pIn3, pCp12, pClF,pCnSp
59, pPr30,pIn3, pCp12, pClF,pCnLk
60, pPr30,pIn3, pCp12, pClE,pCnSl
61, pPr30,pIn3, pCp12, pClE,pCnSp
62, pPr30,pIn3, pCp12, pClE,pCnLk
63, pPr30,pIn3, pCp20, pClD,pCnSl
64, pPr30,pIn3, pCp20, pClD,pCnSp
65, pPr30,pIn3, pCp20, pClD,pCnLk
66, pPr30,pIn3, pCp20, pClF,pCnSl
67, pPr30,pIn3, pCp20, pClF,pCnSp
68, pPr30,pIn3, pCp20, pClF,pCnLk
69, pPr30,pIn3, pCp20, pClE,pCnSl
70, pPr30,pIn3, pCp20, pClE,pCnSp
71, pPr30,pIn3, pCp20, pClE,pCnLk
72, pPr30,pIn3, pCp32, pClD,pCnSl
73, pPr30,pIn3, pCp32, pClD,pCnSp
74, pPr30,pIn3, pCp32, pClD,pCnLk
75, pPr30,pIn3, pCp32, pClF,pCnSl
76, pPr30,pIn3, pCp32, pClF,pCnSp
77, pPr30,pIn3, pCp32, pClF,pCnLk
78, pPr30,pIn3, pCp32, pClE,pCnSl
79, pPr30,pIn3, pCp32, pClE,pCnSp
80, pPr30,pIn3, pCp32, pClE,pCnLk
81, pPr10,pIn0.5, pCp12, pClD,pCnSl
82, pPr10,pIn0.5, pCp12, pClD,pCnSp
83, pPr10,pIn0.5, pCp12, pClD,pCnLk
84, pPr10,pIn0.5, pCp12, pClF,pCnSl
85, pPr10,pIn0.5, pCp12, pClF,pCnSp
86, pPr10,pIn0.5, pCp12, pClF,pCnLk
87, pPr10,pIn0.5, pCp12, pClE,pCnSl
88, pPr10,pIn0.5, pCp12, pClE,pCnSp
89, pPr10,pIn0.5, pCp12, pClE,pCnLk
90, pPr10,pIn0.5, pCp20, pClD,pCnSl
91, pPr10,pIn0.5, pCp20, pClD,pCnSp
92, pPr10,pIn0.5, pCp20, pClD,pCnLk
93, pPr10,pIn0.5, pCp20, pClF,pCnSl
94, pPr10,pIn0.5, pCp20, pClF,pCnSp
95, pPr10,pIn0.5, pCp20, pClF,pCnLk
96, pPr10,pIn0.5, pCp20, pClE,pCnSl
97, pPr10,pIn0.5, pCp20, pClE,pCnSp
98, pPr10,pIn0.5, pCp20, pClE,pCnLk
99, pPr10,pIn0.5, pCp32, pClD,pCnSl
100, pPr10,pIn0.5, pCp32, pClD,pCnSp
101, pPr10,pIn0.5, pCp32, pClD,pCnLk
102, pPr10,pIn0.5, pCp32, pClF,pCnSl
103, pPr10,pIn0.5, pCp32, pClF,pCnSp
104, pPr10,pIn0.5, pCp32, pClF,pCnLk
105, pPr10,pIn0.5, pCp32, pClE,pCnSl
106, pPr10,pIn0.5, pCp32, pClE,pCnSp
107, pPr10,pIn0.5, pCp32, pClE,pCnLk
108, pPr10,pIn1, pCp12, pClD,pCnSl
109, pPr10,pIn1, pCp12, pClD,pCnSp
110, pPr10,pIn1, pCp12, pClD,pCnLk
111, pPr10,pIn1, pCp12, pClF,pCnSl
112, pPr10,pIn1, pCp12, pClF,pCnSp
113, pPr10,pIn1, pCp12, pClF,pCnLk
114, pPr10,pIn1, pCp12, pClE,pCnSl
115, pPr10,pIn1, pCp12, pClE,pCnSp
116, pPr10,pIn1, pCp12, pClE,pCnLk
117, pPr10,pIn1, pCp20, pClD,pCnSl
118, pPr10,pIn1, pCp20, pClD,pCnSp
119, pPr10,pIn1, pCp20, pClD,pCnLk
120, pPr10,pIn1, pCp20, pClF,pCnSl
121, pPr10,pIn1, pCp20, pClF,pCnSp
122, pPr10,pIn1, pCp20, pClF,pCnLk
123, pPr10,pIn1, pCp20, pClE,pCnSl
